id,name,compartment,is_core,is_boundary,is_external_boundary,is_internal_boundary,primary_class,boundary_subtype
26dap__M_e,"meso-2,6-Diaminoheptanedioate",e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
2ddglcn_e,2-Dehydro-3-deoxy-D-gluconate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
Lcyst_e,L-cysteate(1-),e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
PGPm1_c,Peptidoglycan polymer (n-1 subunits),c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
ac_e,Acetate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
acald_e,Acetaldehyde,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
acgam_e,N-acetyl-D-glucosamine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
alaasp_e,L-alanyl-L-aspartate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
alagln_e,L-alanyl-L-glutamine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
alaglu_e,L-alanyl-L-glutamate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
alagly_e,L-alanylglycine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
alahis_e,L-alanyl-L-histidine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
alaleu_e,L-alanyl-L-leucine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
alathr_e,L-alanyl-L-threonine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
arab__L_e,L-arabinose,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
arabttr_e,Arabinotriose,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
arbt_e,Arbutin,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
arg__L_e,L-arginine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
arsenb_e,Arsenobetaine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
biomass_c,Produced biomass,c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
btn_c,Biotin,c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
btn_e,Biotin,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
butso3_e,butanesulfonate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
ca2_e,calcium(2+),e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
cd2_e,Cadmium,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
cellb_e,cellobiose,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
cgly_e,L-cysteinylglycine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
chol_e,Choline,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
cit_e,Citrate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
cl_e,Chloride,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
clpn180_c,"cardiolipin (tetraoctadecanoyl, n-C18:0)",c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
clpnai17_c,"cardiolipin (14-methyl-hexadecanoyl, anteiso-C17)",c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
clpni17_c,"cardiolipin (15-methyl-hexadecanoyl, iso-C17)",c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
co2_e,Carbon dioxide,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
cobalt2_e,Co2+,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
cro4_e,chromate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
cu2_e,Cu2+,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
dextrin_e,Dextrin,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
dhptd_c,"4,5-dihydroxy-2,3-pentanedione",c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
dnarep_c,DNA replication,c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
drib_e,2-deoxy-D-ribose,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
etha_e,Ethanolamine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
ethso3_e,ethanesulfonate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
etoh_e,Ethanol,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
fe2_e,Fe2+,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
fe3_e,Fe3+,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
fecrm_e,Ferrichrome,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
for_e,Formate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
fru_e,D-Fructose,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
fum_e,Fumarate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
gal_e,D-Galactose,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
galt_e,galactitol,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
gam_e,D-Glucosamine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
